"Latest: Time (s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Acceleration (m/s²)"
0,-0.123209698374,0,-1.35331478856
0.02,-0.151199930364,0.02,-2.05307058832
0.04,-0.151199930364,0.04,-2.3889533722
0.06,-0.179190162354,0.06,-2.08106082031
0.08,-0.179190162354,0.08,-2.19302174827
0.1,-0.179190162354,0.1,-2.47292406817
0.12,-0.179190162354,0.12,-2.64086546011
0.14,-0.151199930364,0.14,-2.64086546011
0.16,-0.179190162354,0.16,-2.33297290822
0.18,-0.151199930364,0.18,-3.17267986793
0.2,-0.179190162354,0.2,-2.80880685205
0.22,-0.151199930364,0.22,-3.03272870798
0.24,-0.151199930364,0.24,-2.86478731603
0.26,-0.179190162354,0.26,-2.83679708404
0.28,-0.179190162354,0.28,-3.03272870798
0.3,-0.151199930364,0.3,-2.80880685205
0.32,-0.179190162354,0.32,-2.78081662006
0.34,-0.151199930364,0.34,-2.78081662006
0.36,-0.179190162354,0.36,-2.89277754802
0.38,-0.151199930364,0.38,-2.52890453215
0.4,-0.151199930364,0.4,-2.6688556921
0.42,-0.179190162354,0.42,-2.50091430016
0.44,-0.179190162354,0.44,-2.6688556921
0.46,-0.151199930364,0.46,-2.44493383618
0.48,-0.179190162354,0.48,-2.50091430016
0.5,-0.151199930364,0.5,-1.71718780443
0.52,-0.207180394344,0.52,-2.33297290822
0.54,-0.179190162354,0.54,-2.1090510523
0.56,-0.179190162354,0.56,-1.71718780443
0.58,-0.179190162354,0.58,-1.71718780443
0.6,-0.179190162354,0.6,-1.68919757244
0.62,-0.151199930364,0.62,-0.793510148757
0.64,-0.151199930364,0.64,0.0741870429402
0.66,-0.0952194663834,0.66,-1.15738316463
0.68,-0.151199930364,0.68,-0.961451540698
0.7,-0.123209698374,0.7,-0.681549220796
0.72,-0.151199930364,0.72,-0.149734812982
0.74,-0.151199930364,0.74,0.0741870429402
0.76,-0.151199930364,0.76,0.158157738911
0.78,-0.123209698374,0.78,0.10217727493
0.8,-0.179190162354,0.8,0.494040522794
0.82,-0.151199930364,0.82,0.745952610706
0.84,-0.151199930364,0.84,0.689972146725
0.86,-0.179190162354,0.86,0.829923306676
0.88,-0.151199930364,0.88,1.02585493061
0.9,-0.179190162354,0.9,1.44570841046
0.92,-0.179190162354,0.92,1.55766933842
0.94,-0.151199930364,0.94,1.72561073036
0.96,-0.151199930364,0.96,1.55766933842
0.98,-0.151199930364,0.98,2.28541537017
1,-0.123209698374,1,2.17345444221
1.02,-0.151199930364,1.02,2.50933722609
1.04,-0.151199930364,1.04,2.81722977798
1.06,-0.151199930364,1.06,2.17345444221
1.08,-0.179190162354,1.08,2.81722977798
1.1,-0.179190162354,1.1,2.4813469941
1.12,-0.151199930364,1.12,2.67727861803
1.14,-0.179190162354,1.14,2.78923954599
1.16,-0.151199930364,1.16,2.78923954599
1.18,-0.179190162354,1.18,2.73325908201
1.2,-0.151199930364,1.2,2.84522000997
1.22,-0.151199930364,1.22,2.73325908201
1.24,-0.151199930364,1.24,2.67727861803
1.26,-0.151199930364,1.26,2.64928838604
1.28,-0.151199930364,1.28,2.67727861803
1.3,-0.179190162354,1.3,2.56531769007
1.32,-0.151199930364,1.32,2.4813469941
1.34,-0.179190162354,1.34,2.39737629813
1.36,-0.179190162354,1.36,2.22943490619
1.38,-0.151199930364,1.38,2.59330792206
1.4,-0.151199930364,1.4,2.39737629813
1.42,-0.151199930364,1.42,2.08948374624
1.44,-0.123209698374,1.44,1.89355212231
1.46,-0.179190162354,1.46,1.72561073036
1.48,-0.123209698374,1.48,1.72561073036
1.5,-0.179190162354,1.5,1.44570841046
1.52,-0.151199930364,1.52,1.30575725051
1.54,-0.151199930364,1.54,0.913894002647
1.56,-0.207180394344,1.56,1.08183539459
1.58,-0.179190162354,1.58,0.661981914735
1.6,-0.179190162354,1.6,0.578011218764
1.62,-0.151199930364,1.62,0.438060058813
1.64,-0.151199930364,1.64,0.270118666872
1.66,-0.179190162354,1.66,0.242128434882
1.68,-0.179190162354,1.68,0.186147970901
1.7,-0.179190162354,1.7,-0.485617596864
1.72,-0.151199930364,1.72,-0.373656668904
1.74,-0.179190162354,1.74,-0.569588292835
1.76,-0.151199930364,1.76,-1.2413538606
1.78,-0.123209698374,1.78,-0.709539452786
1.8,-0.179190162354,1.8,-0.989441772689
1.82,-0.151199930364,1.82,-1.32532455657
1.84,-0.151199930364,1.84,-1.35331478856
1.86,-0.179190162354,1.86,0.661981914735
1.88,-0.123209698374,1.88,-1.12939293264
1.9,-0.123209698374,1.9,-1.99709012434
1.92,-0.151199930364,1.92,-2.27699244424
1.94,-0.151199930364,1.94,-2.13704128429
1.96,-0.151199930364,1.96,-1.63321710846
1.98,-0.123209698374,1.98,-2.55689476414
2,-0.151199930364,2,-2.02508035633
2.02,-0.179190162354,2.02,-2.22101198026
2.04,-0.123209698374,2.04,-2.52890453215
2.06,-0.151199930364,2.06,-2.6688556921
2.08,-0.151199930364,2.08,-2.58488499613
2.1,-0.151199930364,2.1,-2.75282638807
2.12,-0.123209698374,2.12,-2.69684592409
2.14,-0.151199930364,2.14,-2.58488499613
2.16,-0.151199930364,2.16,-2.69684592409
2.18,-0.179190162354,2.18,-2.61287522812
2.2,-0.179190162354,2.2,-2.78081662006
2.22,-0.123209698374,2.22,-2.61287522812
2.24,-0.151199930364,2.24,-2.50091430016
2.26,-0.123209698374,2.26,-2.50091430016
2.28,-0.179190162354,2.28,-2.33297290822
2.3,-0.151199930364,2.3,-2.22101198026
2.32,-0.179190162354,2.32,-2.41694360419
2.34,-0.151199930364,2.34,-2.44493383618
2.36,-0.151199930364,2.36,-1.8291487324
2.38,-0.151199930364,2.38,-1.94110966036
2.4,-0.151199930364,2.4,-1.5212561805
2.42,-0.151199930364,2.42,-1.8291487324
2.44,-0.151199930364,2.44,-1.74517803642
2.46,-0.151199930364,2.46,-2.13704128429
2.48,-0.151199930364,2.48,-0.681549220796
2.5,-0.151199930364,2.5,-0.625568756816
2.52,-0.123209698374,2.52,-1.21336362861
2.54,-0.151199930364,2.54,-0.541598060845
2.56,-0.123209698374,2.56,-0.765519916767
2.58,-0.123209698374,2.58,-0.0937543490012
2.6,-0.151199930364,2.6,-0.00978365303054
2.62,-0.151199930364,2.62,0.494040522794
2.64,-0.151199930364,2.64,0.158157738911
2.66,-0.151199930364,2.66,0.130167506921
2.68,-0.179190162354,2.68,0.550020986774
2.7,-0.179190162354,2.7,0.745952610706
2.72,-0.151199930364,2.72,0.857913538667
2.74,-0.151199930364,2.74,0.801933074686
2.76,-0.151199930364,2.76,1.13781585857
2.78,-0.151199930364,2.78,1.47369864245
2.8,-0.151199930364,2.8,1.86556189032
2.82,-0.123209698374,2.82,1.58565957041
2.84,-0.0952194663834,2.84,1.66963026638
2.86,-0.151199930364,2.86,2.03350328226
2.88,-0.151199930364,2.88,2.00551305027
2.9,-0.179190162354,2.9,2.03350328226
2.92,-0.207180394344,2.92,2.4813469941
2.94,-0.179190162354,2.94,2.31340560216
2.96,-0.179190162354,2.96,2.22943490619
2.98,-0.179190162354,2.98,2.06149351425
3,-0.151199930364,3,2.25742513818
3.02,-0.179190162354,3.02,2.42536653012
3.04,-0.179190162354,3.04,2.45335676211
3.06,-0.151199930364,3.06,2.56531769007
3.08,-0.179190162354,3.08,2.50933722609
3.1,-0.123209698374,3.1,2.45335676211
3.12,-0.123209698374,3.12,2.36938606614
3.14,-0.179190162354,3.14,2.50933722609
3.16,-0.151199930364,3.16,2.25742513818
3.18,-0.179190162354,3.18,2.11747397823
3.2,-0.207180394344,3.2,2.03350328226
3.22,-0.179190162354,3.22,2.17345444221
3.24,-0.179190162354,3.24,2.31340560216
3.26,-0.179190162354,3.26,2.28541537017
3.28,-0.151199930364,3.28,1.94953258629
3.3,-0.151199930364,3.3,1.80958142633
3.32,-0.151199930364,3.32,1.6136498024
3.34,-0.151199930364,3.34,1.66963026638
3.36,-0.151199930364,3.36,1.22178655454
3.38,-0.123209698374,3.38,1.38972794648
3.4,-0.207180394344,3.4,0.410069826823
3.42,-0.179190162354,3.42,1.22178655454
3.44,-0.151199930364,3.44,0.661981914735
3.46,-0.179190162354,3.46,0.661981914735
3.48,-0.151199930364,3.48,0.382079594833
3.5,-0.179190162354,3.5,0.354089362842
3.52,-0.151199930364,3.52,0.130167506921
3.54,-0.179190162354,3.54,0.214138202891
3.56,-0.179190162354,3.56,-0.317676204923
3.58,-0.151199930364,3.58,-0.429637132884
3.6,-0.151199930364,3.6,-0.541598060845
3.62,-0.123209698374,3.62,-0.905471076718
3.64,-0.179190162354,3.64,-0.821500380747
3.66,-0.179190162354,3.66,-0.709539452786
3.68,-0.151199930364,3.68,-1.12939293264
3.7,-0.151199930364,3.7,-1.43728548453
3.72,-0.179190162354,3.72,-1.5212561805
3.74,-0.179190162354,3.74,1.44570841046
3.76,-0.179190162354,3.76,-0.905471076718
3.78,-0.207180394344,3.78,-1.18537339662
3.8,-0.179190162354,3.8,-1.96909989235
3.82,-0.179190162354,3.82,-2.19302174827
3.84,-0.123209698374,3.84,-2.24900221225
3.86,-0.151199930364,3.86,-2.33297290822
3.88,-0.151199930364,3.88,-2.16503151628
3.9,-0.151199930364,3.9,-2.61287522812
3.92,-0.207180394344,3.92,-2.36096314021
3.94,-0.207180394344,3.94,-2.52890453215
3.96,-0.151199930364,3.96,-2.44493383618
3.98,-0.151199930364,3.98,-2.27699244424
4,-0.123209698374,4,-2.27699244424
4.02,-0.179190162354,4.02,-2.44493383618
4.04,-0.179190162354,4.04,-2.50091430016
4.06,-0.123209698374,4.06,-2.16503151628
4.08,-0.179190162354,4.08,-2.3889533722
4.1,-0.179190162354,4.1,-2.08106082031
4.12,-0.235170626335,4.12,-2.27699244424
4.14,-0.263160858325,4.14,-2.13704128429
4.16,-0.263160858325,4.16,-1.99709012434
4.18,-0.235170626335,4.18,-1.91311942837
4.2,-0.263160858325,4.2,-1.57723664448
4.22,-0.319141322305,4.22,-1.96909989235
4.24,-0.291151090315,4.24,-1.66120734045
4.26,-0.263160858325,4.26,-1.38130502055
4.28,-0.235170626335,4.28,-0.317676204923
4.3,-0.235170626335,4.3,-1.85713896439
4.32,-0.235170626335,4.32,-1.71718780443
4.34,-0.235170626335,4.34,-1.35331478856
4.36,-0.263160858325,4.36,-0.961451540698
4.38,-0.319141322305,4.38,-0.821500380747
4.4,-0.347131554295,4.4,-0.765519916767
4.42,-0.403112018276,4.42,-0.877480844728
4.44,-0.347131554295,4.44,-0.401646900894
4.46,-0.263160858325,4.46,-0.597578524825
4.48,-0.459092482256,4.48,-0.00978365303054
4.5,-0.403112018276,4.5,0.270118666872
4.52,-0.347131554295,4.52,0.214138202891
4.54,-0.319141322305,4.54,0.438060058813
4.56,-0.291151090315,4.56,0.550020986774
4.58,-0.403112018276,4.58,0.410069826823
4.6,-0.403112018276,4.6,1.02585493061
4.62,-0.431102250266,4.62,1.08183539459
4.64,-0.207180394344,4.64,1.22178655454
4.66,-0.263160858325,4.66,1.41771817847
4.68,-0.319141322305,4.68,1.19379632255
4.7,-0.235170626335,4.7,1.47369864245
4.72,-0.235170626335,4.72,1.66963026638
4.74,-0.207180394344,4.74,2.11747397823
4.76,-0.123209698374,4.76,2.00551305027
4.78,-0.0672292343932,4.78,2.08948374624
4.8,-0.0952194663834,4.8,2.17345444221
4.82,-0.151199930364,4.82,2.11747397823
4.84,-0.0672292343932,4.84,2.11747397823
4.86,-0.0952194663834,4.86,2.22943490619
4.88,0.100712157548,4.88,2.14546421022
4.9,0.072721925558,4.9,2.22943490619
4.92,0.128702389538,4.92,2.31340560216
4.94,0.100712157548,4.94,2.25742513818
4.96,0.100712157548,4.96,2.2014446742
4.98,0.156692621529,4.98,2.2014446742
5,0.212673085509,5,2.25742513818
5.02,0.184682853519,5.02,2.06149351425
5.04,0.212673085509,5.04,2.06149351425
5.06,0.184682853519,5.06,1.94953258629
5.08,0.184682853519,5.08,2.03350328226
5.1,0.156692621529,5.1,1.86556189032
5.12,0.212673085509,5.12,2.17345444221
5.14,0.240663317499,5.14,1.72561073036
5.16,0.240663317499,5.16,1.3337474825
5.18,0.184682853519,5.18,1.55766933842
5.2,0.128702389538,5.2,1.30575725051
5.22,0.184682853519,5.22,1.3337474825
5.24,0.32463401347,5.24,1.27776701852
5.26,0.184682853519,5.26,1.08183539459
5.28,0.072721925558,5.28,1.24977678653
5.3,0.0447316935678,5.3,0.773942842696
5.32,0.0167414615775,5.32,0.717962378715
5.34,0.0447316935678,5.34,0.494040522794
5.36,-0.0392390024029,5.36,0.214138202891
5.38,-0.0392390024029,5.38,0.242128434882
5.4,-0.0392390024029,5.4,0.0741870429402
5.42,-0.0952194663834,5.42,-0.0377738850208
5.44,-0.347131554295,5.44,-0.429637132884
5.46,-0.151199930364,5.46,-0.597578524825
5.48,-0.319141322305,5.48,-0.513607828855
5.5,-0.375121786286,5.5,-0.989441772689
5.52,-0.319141322305,5.52,-0.877480844728
5.54,-0.487082714247,5.54,-1.5212561805
5.56,-0.487082714247,5.56,-0.989441772689
5.58,-0.487082714247,5.58,-1.12939293264
5.6,-0.403112018276,5.6,-1.71718780443
5.62,-0.487082714247,5.62,-2.22101198026
5.64,-0.487082714247,5.64,-2.30498267623
5.66,-0.655024106188,5.66,-2.30498267623
5.68,-0.627033874198,5.68,-1.63321710846
5.7,-0.543063178227,5.7,-2.13704128429
5.72,-0.571053410217,5.72,-1.96909989235
5.74,-0.711004570169,5.74,-2.19302174827
5.76,-0.655024106188,5.76,-2.1090510523
5.78,-0.627033874198,5.78,-2.24900221225
5.8,-0.655024106188,5.8,-2.27699244424
5.82,-0.599043642208,5.82,-2.22101198026
5.84,-0.543063178227,5.84,-2.27699244424
5.86,-0.571053410217,5.86,-2.33297290822
5.88,-0.515072946237,5.88,-2.27699244424
5.9,-0.571053410217,5.9,-2.13704128429
5.92,-0.459092482256,5.92,-1.94110966036
5.94,-0.487082714247,5.94,-2.02508035633
5.96,-0.431102250266,5.96,-1.96909989235
5.98,-0.431102250266,5.98,-1.60522687647
6,-0.431102250266,6,-1.99709012434
6.02,-0.431102250266,6.02,-1.63321710846
6.04,-0.459092482256,6.04,-1.74517803642
6.06,-0.375121786286,6.06,-1.8291487324
6.08,-0.151199930364,6.08,-2.05307058832
6.1,-0.291151090315,6.1,-1.63321710846
6.12,-0.291151090315,6.12,-0.793510148757
6.14,-0.179190162354,6.14,-1.18537339662
6.16,-0.0392390024029,6.16,-2.41694360419
6.18,0.0167414615775,6.18,-1.21336362861
6.2,-0.0112487704127,6.2,-0.709539452786
6.22,-0.0672292343932,6.22,-0.737529684777
6.24,-0.207180394344,6.24,-0.737529684777
6.26,-0.0392390024029,6.26,-0.429637132884
6.28,0.072721925558,6.28,-0.233705508952
6.3,0.184682853519,6.3,0.0461968109499
6.32,0.212673085509,6.32,-0.261695740943
6.34,0.184682853519,6.34,-0.00978365303054
6.36,0.156692621529,6.36,-0.149734812982
6.38,0.156692621529,6.38,0.410069826823
6.4,0.184682853519,6.4,0.298108898862
6.42,0.240663317499,6.42,0.410069826823
6.44,0.240663317499,6.44,0.633991682745
6.46,0.212673085509,6.46,0.661981914735
6.48,0.184682853519,6.48,1.02585493061
6.5,0.212673085509,6.5,0.857913538667
6.52,0.128702389538,6.52,1.0538451626
6.54,0.128702389538,6.54,1.38972794648
6.56,0.128702389538,6.56,1.3337474825
6.58,0.072721925558,6.58,1.19379632255
6.6,0.072721925558,6.6,1.6136498024
6.62,0.072721925558,6.62,1.86556189032
6.64,0.072721925558,6.64,1.75360096235
6.66,-0.0112487704127,6.66,1.83757165832
6.68,-0.0952194663834,6.68,1.72561073036
6.7,-0.0672292343932,6.7,1.97752281828
6.72,-0.0392390024029,6.72,1.86556189032
6.74,-0.0112487704127,6.74,2.00551305027
6.76,-0.0392390024029,6.76,2.00551305027
6.78,-0.207180394344,6.78,2.03350328226
6.8,-0.263160858325,6.8,2.08948374624
6.82,-0.151199930364,6.82,2.08948374624
6.84,-0.207180394344,6.84,2.06149351425
6.86,-0.319141322305,6.86,1.97752281828
6.88,-0.291151090315,6.88,1.94953258629
6.9,-0.291151090315,6.9,1.9215423543
6.92,-0.319141322305,6.92,2.22943490619
6.94,-0.431102250266,6.94,1.52967910643
6.96,-0.431102250266,6.96,1.64164003439
6.98,-0.347131554295,6.98,1.47369864245
7,-0.431102250266,7,1.44570841046
7.02,-0.459092482256,7.02,1.36173771449
7.04,-0.515072946237,7.04,1.3337474825
7.06,-0.515072946237,7.06,1.52967910643
7.08,-0.431102250266,7.08,0.941884234637
7.1,-0.375121786286,7.1,0.941884234637
7.12,-0.375121786286,7.12,1.19379632255
7.14,-0.319141322305,7.14,0.689972146725
7.16,-0.347131554295,7.16,0.633991682745
7.18,-0.319141322305,7.18,0.438060058813
7.2,-0.235170626335,7.2,0.438060058813
7.22,-0.235170626335,7.22,0.354089362842
7.24,-0.207180394344,7.24,0.0741870429402
7.26,-0.207180394344,7.26,-0.121744580991
7.28,-0.235170626335,7.28,-0.513607828855
7.3,-0.263160858325,7.3,-0.205715276962
7.32,-0.179190162354,7.32,-0.513607828855
7.34,-0.0952194663834,7.34,-0.597578524825
7.36,-0.0112487704127,7.36,-0.709539452786
7.38,-0.0672292343932,7.38,-0.793510148757
7.4,-0.0952194663834,7.4,-0.653558988806
7.42,-0.0392390024029,7.42,-0.961451540698
7.44,0.0447316935678,7.44,-1.18537339662
7.46,0.0447316935678,7.46,-1.15738316463
7.48,-0.0112487704127,7.48,-1.35331478856
7.5,0.100712157548,7.5,-1.66120734045
7.52,0.0447316935678,7.52,-1.10140270065
7.54,0.0447316935678,7.54,-1.74517803642
7.56,0.072721925558,7.56,-1.80115850041
7.58,0.0447316935678,7.58,-1.96909989235
7.6,0.0447316935678,7.6,-1.94110966036
7.62,0.0167414615775,7.62,-1.88512919638
7.64,-0.0392390024029,7.64,-1.99709012434
7.66,0.072721925558,7.66,-2.05307058832
7.68,-0.0112487704127,7.68,-1.96909989235
7.7,-0.0392390024029,7.7,-2.08106082031
7.72,0.0167414615775,7.72,-2.13704128429
7.74,-0.0392390024029,7.74,-2.08106082031
7.76,-0.0392390024029,7.76,-2.02508035633
7.78,-0.0392390024029,7.78,-2.05307058832
7.8,-0.0672292343932,7.8,-1.91311942837
7.82,-0.123209698374,7.82,-1.88512919638
7.84,-0.151199930364,7.84,-1.74517803642
7.86,-0.179190162354,7.86,-2.24900221225
7.88,-0.347131554295,7.88,-1.80115850041
7.9,-0.319141322305,7.9,-1.63321710846
7.92,-0.291151090315,7.92,-1.60522687647
7.94,-0.319141322305,7.94,-1.43728548453
7.96,-0.319141322305,7.96,-1.85713896439
7.98,-0.375121786286,7.98,-1.32532455657
8,-0.319141322305,8,-1.21336362861
8.02,-0.347131554295,8.02,-0.905471076718
8.04,-0.375121786286,8.04,-0.877480844728
8.06,-0.375121786286,8.06,-0.905471076718
8.08,-0.487082714247,8.08,-0.737529684777
8.1,-0.459092482256,8.1,-0.569588292835
8.12,-0.487082714247,8.12,-0.709539452786
8.14,-0.403112018276,8.14,-0.345666436913
8.16,-0.431102250266,8.16,-0.457627364874
8.18,-0.403112018276,8.18,-0.233705508952
8.2,-0.375121786286,8.2,0.0461968109499
8.22,-0.431102250266,8.22,0.0461968109499
8.24,-0.431102250266,8.24,0.158157738911
8.26,-0.347131554295,8.26,0.438060058813
8.28,-0.375121786286,8.28,0.382079594833
8.3,-0.487082714247,8.3,0.829923306676
8.32,-0.403112018276,8.32,0.829923306676
8.34,-0.347131554295,8.34,0.801933074686
8.36,-0.263160858325,8.36,0.997864698618
8.38,-0.263160858325,8.38,1.16580609056
8.4,-0.319141322305,8.4,1.3337474825
8.42,-0.263160858325,8.42,1.24977678653
8.44,-0.263160858325,8.44,1.10982562658
8.46,-0.235170626335,8.46,1.50168887444
8.48,-0.123209698374,8.48,1.50168887444
8.5,-0.179190162354,8.5,1.66963026638
8.52,-0.179190162354,8.52,1.6136498024
8.54,-0.179190162354,8.54,1.75360096235
8.56,-0.0392390024029,8.56,1.6136498024
8.58,0.100712157548,8.58,1.72561073036
8.6,0.0447316935678,8.6,1.9215423543
8.62,0.072721925558,8.62,1.89355212231
8.64,0.0447316935678,8.64,1.89355212231
8.66,0.128702389538,8.66,1.83757165832
8.68,0.128702389538,8.68,1.83757165832
8.7,0.128702389538,8.7,1.80958142633
8.72,0.184682853519,8.72,1.80958142633
8.74,0.212673085509,8.74,1.80958142633
8.76,0.240663317499,8.76,1.75360096235
8.78,0.184682853519,8.78,1.78159119434
8.8,0.184682853519,8.8,1.64164003439
8.82,0.212673085509,8.82,1.72561073036
8.84,0.156692621529,8.84,1.52967910643
8.86,0.156692621529,8.86,1.30575725051
8.88,0.100712157548,8.88,1.36173771449
8.9,0.072721925558,8.9,1.16580609056
8.92,0.128702389538,8.92,1.27776701852
8.94,0.100712157548,8.94,1.0538451626
8.96,0.100712157548,8.96,0.745952610706
8.98,0.072721925558,8.98,0.941884234637
9,-0.0112487704127,9,0.550020986774
9.02,0.0447316935678,9.02,0.606001450755
9.04,-0.0112487704127,9.04,0.438060058813
9.06,0.072721925558,9.06,0.494040522794
9.08,0.0447316935678,9.08,0.10217727493
9.1,-0.0112487704127,9.1,0.0461968109499
9.12,-0.235170626335,9.12,-0.0937543490012
9.14,-0.151199930364,9.14,-0.0937543490012
9.16,-0.207180394344,9.16,-0.513607828855
9.18,0.0167414615775,9.18,-0.513607828855
9.2,-0.263160858325,9.2,-0.541598060845
9.22,-0.263160858325,9.22,-0.709539452786
9.24,-0.459092482256,9.24,-0.653558988806
9.26,-0.375121786286,9.26,-0.821500380747
9.28,-0.431102250266,9.28,-0.877480844728
9.3,-0.375121786286,9.3,-0.905471076718
9.32,-0.515072946237,9.32,-1.04542223667
9.34,-0.571053410217,9.34,-1.21336362861
9.36,-0.487082714247,9.36,-1.21336362861
9.38,-0.543063178227,9.38,-1.5212561805
9.4,-0.543063178227,9.4,-1.54924641249
9.42,-0.543063178227,9.42,-3.28464079589
9.44,-0.627033874198,9.44,-2.13704128429
9.46,-0.599043642208,9.46,-1.91311942837
9.48,-0.571053410217,9.48,-1.80115850041
9.5,-0.543063178227,9.5,-1.94110966036
9.52,-0.487082714247,9.52,-1.8291487324
9.54,-0.487082714247,9.54,-1.74517803642
9.56,-0.459092482256,9.56,-1.85713896439
9.58,-0.459092482256,9.58,-1.94110966036
9.6,-0.375121786286,9.6,-1.85713896439
9.62,-0.459092482256,9.62,-1.8291487324
9.64,-0.431102250266,9.64,-1.88512919638
9.66,-0.375121786286,9.66,-1.88512919638
9.68,-0.291151090315,9.68,-1.63321710846
9.7,-0.403112018276,9.7,-1.85713896439
9.72,-0.459092482256,9.72,-1.57723664448
9.74,-0.319141322305,9.74,-1.43728548453
9.76,-0.263160858325,9.76,-1.40929525254
9.78,-0.0392390024029,9.78,-0.905471076718
9.8,-0.319141322305,9.8,-2.30498267623
9.82,-0.0952194663834,9.82,-1.60522687647
9.84,-0.123209698374,9.84,-1.12939293264
9.86,-0.0392390024029,9.86,-1.26934409259
9.88,0.128702389538,9.88,-1.01743200468
9.9,0.0447316935678,9.9,-0.709539452786
9.92,0.128702389538,9.92,-0.849490612737
